"OBJECTID","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
1,0,497.000000,0,0,0,0,0,0,0
2,1,191.000000,1,0,0,0,0,0,0
3,2,329.000000,0,1,0,0,0,0,0
4,3,570.000000,1,1,0,0,0,0,0
5,4,6.000000,0,0,1,0,0,0,0
6,6,26.000000,0,1,1,0,0,0,0
7,7,7.000000,1,1,1,0,0,0,0
8,8,164.000000,0,0,0,1,0,0,0
9,9,168.000000,1,0,0,1,0,0,0
10,10,56.000000,0,1,0,1,0,0,0
11,11,379.000000,1,1,0,1,0,0,0
12,14,2.000000,0,1,1,1,0,0,0
13,15,1.000000,1,1,1,1,0,0,0
14,16,310.000000,0,0,0,0,1,0,0
15,17,52.000000,1,0,0,0,1,0,0
16,18,227.000000,0,1,0,0,1,0,0
17,19,359.000000,1,1,0,0,1,0,0
18,20,146.000000,0,0,1,0,1,0,0
19,21,3.000000,1,0,1,0,1,0,0
20,22,112.000000,0,1,1,0,1,0,0
21,23,163.000000,1,1,1,0,1,0,0
22,24,169.000000,0,0,0,1,1,0,0
23,25,97.000000,1,0,0,1,1,0,0
24,26,127.000000,0,1,0,1,1,0,0
25,27,824.000000,1,1,0,1,1,0,0
26,28,60.000000,0,0,1,1,1,0,0
27,29,7.000000,1,0,1,1,1,0,0
28,30,168.000000,0,1,1,1,1,0,0
29,31,806.000000,1,1,1,1,1,0,0
30,32,3.000000,0,0,0,0,0,1,0
31,34,82.000000,0,1,0,0,0,1,0
32,35,1017.000000,1,1,0,0,0,1,0
33,36,2.000000,0,0,1,0,0,1,0
34,38,41.000000,0,1,1,0,0,1,0
35,39,321.000000,1,1,1,0,0,1,0
36,42,1.000000,0,1,0,1,0,1,0
37,43,182.000000,1,1,0,1,0,1,0
38,47,25.000000,1,1,1,1,0,1,0
39,48,6.000000,0,0,0,0,1,1,0
40,50,112.000000,0,1,0,0,1,1,0
41,51,1053.000000,1,1,0,0,1,1,0
42,52,19.000000,0,0,1,0,1,1,0
43,54,1080.000000,0,1,1,0,1,1,0
44,55,7714.000000,1,1,1,0,1,1,0
45,58,22.000000,0,1,0,1,1,1,0
46,59,1531.000000,1,1,0,1,1,1,0
47,60,6.000000,0,0,1,1,1,1,0
48,61,1.000000,1,0,1,1,1,1,0
49,62,754.000000,0,1,1,1,1,1,0
50,63,27869.000000,1,1,1,1,1,1,0
51,64,8.000000,0,0,0,0,0,0,1
52,65,4.000000,1,0,0,0,0,0,1
53,66,1.000000,0,1,0,0,0,0,1
54,67,5.000000,1,1,0,0,0,0,1
55,71,1.000000,1,1,1,0,0,0,1
56,72,140.000000,0,0,0,1,0,0,1
57,73,97.000000,1,0,0,1,0,0,1
58,74,13.000000,0,1,0,1,0,0,1
59,75,130.000000,1,1,0,1,0,0,1
60,80,11.000000,0,0,0,0,1,0,1
61,81,6.000000,1,0,0,0,1,0,1
62,82,8.000000,0,1,0,0,1,0,1
63,83,19.000000,1,1,0,0,1,0,1
64,84,14.000000,0,0,1,0,1,0,1
65,86,23.000000,0,1,1,0,1,0,1
66,87,59.000000,1,1,1,0,1,0,1
67,88,805.000000,0,0,0,1,1,0,1
68,89,533.000000,1,0,0,1,1,0,1
69,90,560.000000,0,1,0,1,1,0,1
70,91,2764.000000,1,1,0,1,1,0,1
71,92,1027.000000,0,0,1,1,1,0,1
72,93,147.000000,1,0,1,1,1,0,1
73,94,2550.000000,0,1,1,1,1,0,1
74,95,7302.000000,1,1,1,1,1,0,1
75,106,1.000000,0,1,0,1,0,1,1
76,107,47.000000,1,1,0,1,0,1,1
77,111,3.000000,1,1,1,1,0,1,1
78,114,2.000000,0,1,0,0,1,1,1
79,115,31.000000,1,1,0,0,1,1,1
80,116,8.000000,0,0,1,0,1,1,1
81,118,615.000000,0,1,1,0,1,1,1
82,119,2329.000000,1,1,1,0,1,1,1
83,122,61.000000,0,1,0,1,1,1,1
84,123,2173.000000,1,1,0,1,1,1,1
85,124,164.000000,0,0,1,1,1,1,1
86,125,8.000000,1,0,1,1,1,1,1
87,126,15138.000000,0,1,1,1,1,1,1
88,127,2202584.000000,1,1,1,1,1,1,1
