"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
,0,346.000000,0,0,0,0,0,0,0
,1,122.000000,1,0,0,0,0,0,0
,2,26.000000,0,1,0,0,0,0,0
,3,51.000000,1,1,0,0,0,0,0
,4,1.000000,0,0,1,0,0,0,0
,7,3.000000,1,1,1,0,0,0,0
,16,261.000000,0,0,0,0,1,0,0
,17,22.000000,1,0,0,0,1,0,0
,18,7.000000,0,1,0,0,1,0,0
,19,14.000000,1,1,0,0,1,0,0
,20,17.000000,0,0,1,0,1,0,0
,22,2.000000,0,1,1,0,1,0,0
,24,7.000000,0,0,0,1,1,0,0
,28,9.000000,0,0,1,1,1,0,0
,32,47.000000,0,0,0,0,0,1,0
,33,7.000000,1,0,0,0,0,1,0
,34,60.000000,0,1,0,0,0,1,0
,35,180.000000,1,1,0,0,0,1,0
,36,4.000000,0,0,1,0,0,1,0
,37,1.000000,1,0,1,0,0,1,0
,38,22.000000,0,1,1,0,0,1,0
,39,146.000000,1,1,1,0,0,1,0
,48,41.000000,0,0,0,0,1,1,0
,49,6.000000,1,0,0,0,1,1,0
,50,42.000000,0,1,0,0,1,1,0
,51,70.000000,1,1,0,0,1,1,0
,52,42.000000,0,0,1,0,1,1,0
,53,1.000000,1,0,1,0,1,1,0
,54,183.000000,0,1,1,0,1,1,0
,55,1104.000000,1,1,1,0,1,1,0
,60,16.000000,0,0,1,1,1,1,0
,62,16.000000,0,1,1,1,1,1,0
,63,15.000000,1,1,1,1,1,1,0
,64,397.000000,0,0,0,0,0,0,1
,65,204.000000,1,0,0,0,0,0,1
,66,3.000000,0,1,0,0,0,0,1
,67,132.000000,1,1,0,0,0,0,1
,72,706.000000,0,0,0,1,0,0,1
,73,579.000000,1,0,0,1,0,0,1
,74,3.000000,0,1,0,1,0,0,1
,75,177.000000,1,1,0,1,0,0,1
,80,626.000000,0,0,0,0,1,0,1
,81,160.000000,1,0,0,0,1,0,1
,82,33.000000,0,1,0,0,1,0,1
,83,201.000000,1,1,0,0,1,0,1
,84,17.000000,0,0,1,0,1,0,1
,85,1.000000,1,0,1,0,1,0,1
,86,6.000000,0,1,1,0,1,0,1
,87,23.000000,1,1,1,0,1,0,1
,88,5089.000000,0,0,0,1,1,0,1
,89,2524.000000,1,0,0,1,1,0,1
,90,242.000000,0,1,0,1,1,0,1
,91,1600.000000,1,1,0,1,1,0,1
,92,640.000000,0,0,1,1,1,0,1
,93,147.000000,1,0,1,1,1,0,1
,94,223.000000,0,1,1,1,1,0,1
,95,498.000000,1,1,1,1,1,0,1
,96,7.000000,0,0,0,0,0,1,1
,97,11.000000,1,0,0,0,0,1,1
,98,4.000000,0,1,0,0,0,1,1
,99,314.000000,1,1,0,0,0,1,1
,100,1.000000,0,0,1,0,0,1,1
,101,1.000000,1,0,1,0,0,1,1
,102,12.000000,0,1,1,0,0,1,1
,103,171.000000,1,1,1,0,0,1,1
,104,1.000000,0,0,0,1,0,1,1
,105,11.000000,1,0,0,1,0,1,1
,106,12.000000,0,1,0,1,0,1,1
,107,140.000000,1,1,0,1,0,1,1
,108,1.000000,0,0,1,1,0,1,1
,110,5.000000,0,1,1,1,0,1,1
,111,51.000000,1,1,1,1,0,1,1
,112,115.000000,0,0,0,0,1,1,1
,113,74.000000,1,0,0,0,1,1,1
,114,106.000000,0,1,0,0,1,1,1
,115,1194.000000,1,1,0,0,1,1,1
,116,107.000000,0,0,1,0,1,1,1
,117,38.000000,1,0,1,0,1,1,1
,118,799.000000,0,1,1,0,1,1,1
,119,12023.000000,1,1,1,0,1,1,1
,120,1682.000000,0,0,0,1,1,1,1
,121,2029.000000,1,0,0,1,1,1,1
,122,1663.000000,0,1,0,1,1,1,1
,123,21267.000000,1,1,0,1,1,1,1
,124,2843.000000,0,0,1,1,1,1,1
,125,1880.000000,1,0,1,1,1,1,1
,126,15339.000000,0,1,1,1,1,1,1
,127,2208235.000000,1,1,1,1,1,1,1
