"OBJECTID","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
1,0,361.000000,0,0,0,0,0,0,0
2,1,56.000000,1,0,0,0,0,0,0
3,2,2.000000,0,1,0,0,0,0,0
4,3,4.000000,1,1,0,0,0,0,0
5,4,27.000000,0,0,1,0,0,0,0
6,5,18.000000,1,0,1,0,0,0,0
7,7,1.000000,1,1,1,0,0,0,0
8,8,549.000000,0,0,0,1,0,0,0
9,9,82.000000,1,0,0,1,0,0,0
10,10,876.000000,0,1,0,1,0,0,0
11,11,790.000000,1,1,0,1,0,0,0
12,12,9.000000,0,0,1,1,0,0,0
13,13,25.000000,1,0,1,1,0,0,0
14,14,8.000000,0,1,1,1,0,0,0
15,15,79.000000,1,1,1,1,0,0,0
16,16,3.000000,0,0,0,0,1,0,0
17,17,13.000000,1,0,0,0,1,0,0
18,19,7.000000,1,1,0,0,1,0,0
19,20,3.000000,0,0,1,0,1,0,0
20,21,49.000000,1,0,1,0,1,0,0
21,23,13.000000,1,1,1,0,1,0,0
22,25,8.000000,1,0,0,1,1,0,0
23,26,1.000000,0,1,0,1,1,0,0
24,27,132.000000,1,1,0,1,1,0,0
25,29,53.000000,1,0,1,1,1,0,0
26,30,1.000000,0,1,1,1,1,0,0
27,31,505.000000,1,1,1,1,1,0,0
28,32,312.000000,0,0,0,0,0,1,0
29,33,36.000000,1,0,0,0,0,1,0
30,35,1.000000,1,1,0,0,0,1,0
31,36,126.000000,0,0,1,0,0,1,0
32,37,87.000000,1,0,1,0,0,1,0
33,38,1.000000,0,1,1,0,0,1,0
34,39,6.000000,1,1,1,0,0,1,0
35,40,300.000000,0,0,0,1,0,1,0
36,41,100.000000,1,0,0,1,0,1,0
37,42,727.000000,0,1,0,1,0,1,0
38,43,1776.000000,1,1,0,1,0,1,0
39,44,102.000000,0,0,1,1,0,1,0
40,45,359.000000,1,0,1,1,0,1,0
41,46,244.000000,0,1,1,1,0,1,0
42,47,4722.000000,1,1,1,1,0,1,0
43,48,3.000000,0,0,0,0,1,1,0
44,51,2.000000,1,1,0,0,1,1,0
45,52,35.000000,0,0,1,0,1,1,0
46,53,560.000000,1,0,1,0,1,1,0
47,55,42.000000,1,1,1,0,1,1,0
48,57,10.000000,1,0,0,1,1,1,0
49,58,9.000000,0,1,0,1,1,1,0
50,59,347.000000,1,1,0,1,1,1,0
51,60,35.000000,0,0,1,1,1,1,0
52,61,2223.000000,1,0,1,1,1,1,0
53,62,102.000000,0,1,1,1,1,1,0
54,63,33979.000000,1,1,1,1,1,1,0
55,64,34.000000,0,0,0,0,0,0,1
56,72,113.000000,0,0,0,1,0,0,1
57,73,8.000000,1,0,0,1,0,0,1
58,74,692.000000,0,1,0,1,0,0,1
59,75,168.000000,1,1,0,1,0,0,1
60,76,3.000000,0,0,1,1,0,0,1
61,78,1.000000,0,1,1,1,0,0,1
62,79,14.000000,1,1,1,1,0,0,1
63,89,1.000000,1,0,0,1,1,0,1
64,91,5.000000,1,1,0,1,1,0,1
65,93,3.000000,1,0,1,1,1,0,1
66,95,16.000000,1,1,1,1,1,0,1
67,96,124.000000,0,0,0,0,0,1,1
68,97,14.000000,1,0,0,0,0,1,1
69,100,253.000000,0,0,1,0,0,1,1
70,101,202.000000,1,0,1,0,0,1,1
71,104,704.000000,0,0,0,1,0,1,1
72,105,204.000000,1,0,0,1,0,1,1
73,106,2969.000000,0,1,0,1,0,1,1
74,107,2898.000000,1,1,0,1,0,1,1
75,108,1152.000000,0,0,1,1,0,1,1
76,109,2230.000000,1,0,1,1,0,1,1
77,110,2099.000000,0,1,1,1,0,1,1
78,111,99277.000000,1,1,1,1,0,1,1
79,116,214.000000,0,0,1,0,1,1,1
80,117,1224.000000,1,0,1,0,1,1,1
81,119,15.000000,1,1,1,0,1,1,1
82,121,13.000000,1,0,0,1,1,1,1
83,122,25.000000,0,1,0,1,1,1,1
84,123,519.000000,1,1,0,1,1,1,1
85,124,766.000000,0,0,1,1,1,1,1
86,125,15771.000000,1,0,1,1,1,1,1
87,126,891.000000,0,1,1,1,1,1,1
88,127,2104715.000000,1,1,1,1,1,1,1
