"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6"
,0,293.000000,0,0,0,0,0,0
,1,27.000000,1,0,0,0,0,0
,2,643.000000,0,1,0,0,0,0
,3,193.000000,1,1,0,0,0,0
,8,304.000000,0,0,0,1,0,0
,9,11.000000,1,0,0,1,0,0
,10,838.000000,0,1,0,1,0,0
,11,576.000000,1,1,0,1,0,0
,12,38.000000,0,0,1,1,0,0
,14,514.000000,0,1,1,1,0,0
,15,610.000000,1,1,1,1,0,0
,16,113.000000,0,0,0,0,1,0
,17,2.000000,1,0,0,0,1,0
,18,35.000000,0,1,0,0,1,0
,19,16.000000,1,1,0,0,1,0
,22,1.000000,0,1,1,0,1,0
,24,241.000000,0,0,0,1,1,0
,25,9.000000,1,0,0,1,1,0
,26,869.000000,0,1,0,1,1,0
,27,438.000000,1,1,0,1,1,0
,28,893.000000,0,0,1,1,1,0
,29,2.000000,1,0,1,1,1,0
,30,13234.000000,0,1,1,1,1,0
,31,12770.000000,1,1,1,1,1,0
,32,26.000000,0,0,0,0,0,1
,33,83.000000,1,0,0,0,0,1
,34,24.000000,0,1,0,0,0,1
,35,1386.000000,1,1,0,0,0,1
,39,2.000000,1,1,1,0,0,1
,40,13.000000,0,0,0,1,0,1
,41,17.000000,1,0,0,1,0,1
,42,76.000000,0,1,0,1,0,1
,43,5950.000000,1,1,0,1,0,1
,46,34.000000,0,1,1,1,0,1
,47,2871.000000,1,1,1,1,0,1
,48,46.000000,0,0,0,0,1,1
,49,91.000000,1,0,0,0,1,1
,50,20.000000,0,1,0,0,1,1
,51,407.000000,1,1,0,0,1,1
,52,3.000000,0,0,1,0,1,1
,56,99.000000,0,0,0,1,1,1
,57,110.000000,1,0,0,1,1,1
,58,349.000000,0,1,0,1,1,1
,59,21304.000000,1,1,0,1,1,1
,60,195.000000,0,0,1,1,1,1
,61,131.000000,1,0,1,1,1,1
,62,5611.000000,0,1,1,1,1,1
,63,2215740.000000,1,1,1,1,1,1
