"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
,0,50.000000,0,0,0,0,0,0,0
,2,2.000000,0,1,0,0,0,0,0
,4,4.000000,0,0,1,0,0,0,0
,8,8.000000,0,0,0,1,0,0,0
,10,6.000000,0,1,0,1,0,0,0
,16,156.000000,0,0,0,0,1,0,0
,17,8.000000,1,0,0,0,1,0,0
,18,9.000000,0,1,0,0,1,0,0
,19,1.000000,1,1,0,0,1,0,0
,20,15.000000,0,0,1,0,1,0,0
,21,40.000000,1,0,1,0,1,0,0
,23,9.000000,1,1,1,0,1,0,0
,24,21.000000,0,0,0,1,1,0,0
,25,1.000000,1,0,0,1,1,0,0
,26,19.000000,0,1,0,1,1,0,0
,27,29.000000,1,1,0,1,1,0,0
,29,4.000000,1,0,1,1,1,0,0
,31,57.000000,1,1,1,1,1,0,0
,32,3.000000,0,0,0,0,0,1,0
,40,1.000000,0,0,0,1,0,1,0
,42,5.000000,0,1,0,1,0,1,0
,48,1.000000,0,0,0,0,1,1,0
,58,5.000000,0,1,0,1,1,1,0
,59,2.000000,1,1,0,1,1,1,0
,64,372.000000,0,0,0,0,0,0,1
,68,16.000000,0,0,1,0,0,0,1
,69,15.000000,1,0,1,0,0,0,1
,72,79.000000,0,0,0,1,0,0,1
,74,24.000000,0,1,0,1,0,0,1
,80,885.000000,0,0,0,0,1,0,1
,81,97.000000,1,0,0,0,1,0,1
,82,45.000000,0,1,0,0,1,0,1
,83,17.000000,1,1,0,0,1,0,1
,84,173.000000,0,0,1,0,1,0,1
,85,3444.000000,1,0,1,0,1,0,1
,86,3.000000,0,1,1,0,1,0,1
,87,631.000000,1,1,1,0,1,0,1
,88,186.000000,0,0,0,1,1,0,1
,89,36.000000,1,0,0,1,1,0,1
,90,475.000000,0,1,0,1,1,0,1
,91,441.000000,1,1,0,1,1,0,1
,92,49.000000,0,0,1,1,1,0,1
,93,1262.000000,1,0,1,1,1,0,1
,94,56.000000,0,1,1,1,1,0,1
,95,6852.000000,1,1,1,1,1,0,1
,96,498.000000,0,0,0,0,0,1,1
,98,1.000000,0,1,0,0,0,1,1
,100,20.000000,0,0,1,0,0,1,1
,101,9.000000,1,0,1,0,0,1,1
,104,314.000000,0,0,0,1,0,1,1
,106,313.000000,0,1,0,1,0,1,1
,108,12.000000,0,0,1,1,0,1,1
,109,3.000000,1,0,1,1,0,1,1
,112,945.000000,0,0,0,0,1,1,1
,113,72.000000,1,0,0,0,1,1,1
,114,26.000000,0,1,0,0,1,1,1
,115,5.000000,1,1,0,0,1,1,1
,116,491.000000,0,0,1,0,1,1,1
,117,4121.000000,1,0,1,0,1,1,1
,118,11.000000,0,1,1,0,1,1,1
,119,643.000000,1,1,1,0,1,1,1
,120,2125.000000,0,0,0,1,1,1,1
,121,609.000000,1,0,0,1,1,1,1
,122,10856.000000,0,1,0,1,1,1,1
,123,6645.000000,1,1,0,1,1,1,1
,124,1481.000000,0,0,1,1,1,1,1
,125,19274.000000,1,0,1,1,1,1,1
,126,5315.000000,0,1,1,1,1,1,1
,127,2217855.000000,1,1,1,1,1,1,1
