"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5"
,0,473.000000,0,0,0,0,0
,1,5.000000,1,0,0,0,0
,2,1382.000000,0,1,0,0,0
,3,3484.000000,1,1,0,0,0
,4,77.000000,0,0,1,0,0
,5,9.000000,1,0,1,0,0
,6,1048.000000,0,1,1,0,0
,7,8872.000000,1,1,1,0,0
,8,15.000000,0,0,0,1,0
,9,1.000000,1,0,0,1,0
,10,231.000000,0,1,0,1,0
,11,3595.000000,1,1,0,1,0
,12,1.000000,0,0,1,1,0
,14,160.000000,0,1,1,1,0
,15,4829.000000,1,1,1,1,0
,16,85.000000,0,0,0,0,1
,17,1.000000,1,0,0,0,1
,18,349.000000,0,1,0,0,1
,19,1021.000000,1,1,0,0,1
,20,117.000000,0,0,1,0,1
,21,4.000000,1,0,1,0,1
,22,2696.000000,0,1,1,0,1
,23,21059.000000,1,1,1,0,1
,24,156.000000,0,0,0,1,1
,25,1.000000,1,0,0,1,1
,26,3807.000000,0,1,0,1,1
,27,28782.000000,1,1,0,1,1
,28,200.000000,0,0,1,1,1
,29,1.000000,1,0,1,1,1
,30,14285.000000,0,1,1,1,1
,31,2190512.000000,1,1,1,1,1
